Day,HS.SUSCEPTIBLE,HS.INFECTED,HS.RECOVERED,HS.DEAD,HS.VACCINATED
0,381,12,0,7,600
1,376,11,0,13,600
2,370,11,0,19,600
3,366,7,0,27,600
4,366,3,0,31,600
5,364,4,0,32,600
6,364,2,0,34,600
7,362,4,0,34,600
8,362,2,0,36,600
9,362,2,0,36,600
10,362,2,0,36,600
11,360,4,0,36,600
12,359,5,0,36,600
13,358,2,0,40,600
14,357,1,0,42,600
15,355,3,0,42,600
16,354,4,0,42,600
17,347,9,0,44,600
18,344,5,0,51,600
19,344,3,0,53,600
20,344,1,0,55,600
21,344,1,0,55,600
22,344,1,0,55,600
23,339,5,0,56,600
24,336,6,0,58,600
25,334,4,0,62,600
26,333,4,0,63,600
27,332,2,0,66,600
28,329,4,0,67,600
29,326,4,0,70,600
30,326,1,0,73,600
31,326,0,0,74,600
32,326,0,0,74,600
33,326,0,0,74,600
34,326,0,0,74,600
35,326,0,0,74,600
36,326,0,0,74,600
37,326,0,0,74,600
38,326,0,0,74,600
39,326,0,0,74,600
40,326,0,0,74,600
41,326,0,0,74,600
42,326,0,0,74,600
43,326,0,0,74,600
44,326,0,0,74,600
45,326,0,0,74,600
46,326,0,0,74,600
47,326,0,0,74,600
48,326,0,0,74,600
49,326,0,0,74,600
